payment_id,settlement_id,bank_transaction_ids,expected_status,scenario
PAY-0075,SET-0075,BANK-0075,matched_with_date_offset,date_offset
PAY-0076,SET-0076,BANK-0076,matched_with_fee_variance,processing_fee_difference
PAY-0077,SET-0077,BANK-0077,matched_with_fee_variance,processing_fee_difference
PAY-0078,SET-0078,BANK-0078,matched_with_fee_variance,processing_fee_difference
PAY-0079,SET-0079,BANK-0079,matched_with_fee_variance,processing_fee_difference
PAY-0080,SET-0080,BANK-0080,matched_with_fee_variance,processing_fee_difference
PAY-0081,SET-0081,,missing_bank_transaction,missing_bank_transaction
PAY-0082,SET-0082,,missing_bank_transaction,missing_bank_transaction
PAY-0083,SET-0083,,missing_bank_transaction,missing_bank_transaction
PAY-0084,SET-0084,,missing_bank_transaction,missing_bank_transaction
PAY-0085,SET-0085,,missing_bank_transaction,missing_bank_transaction
PAY-0086,SET-0086,,missing_bank_transaction,missing_bank_transaction
PAY-0087,SET-0087,,missing_bank_transaction,missing_bank_transaction
PAY-0088,SET-0088,,missing_bank_transaction,missing_bank_transaction
PAY-0089,SET-0089,BANK-0089;BANK-DUP-0089,duplicate_bank_transaction,duplicate_transaction
PAY-0090,SET-0090,BANK-0090;BANK-DUP-0090,duplicate_bank_transaction,duplicate_transaction
PAY-0091,SET-0091,BANK-0091;BANK-DUP-0091,duplicate_bank_transaction,duplicate_transaction
PAY-0092,SET-0092,BANK-0092;BANK-DUP-0092,duplicate_bank_transaction,duplicate_transaction
PAY-0093,SET-0093,BANK-0093;BANK-DUP-0093,duplicate_bank_transaction,duplicate_transaction
PAY-0094,SET-0094,BANK-0094,partial_settlement,partial_settlement
PAY-0095,SET-0095,BANK-0095,partial_settlement,partial_settlement
PAY-0096,SET-0096,BANK-0096,partial_settlement,partial_settlement
PAY-0097,SET-0097,BANK-0097;BANK-CAND-0097,ambiguous_multiple_bank_candidates,multiple_possible_bank_candidates
PAY-0098,SET-0098,BANK-0098;BANK-CAND-0098,ambiguous_multiple_bank_candidates,multiple_possible_bank_candidates
PAY-0099,SET-0099,BANK-0099;BANK-CAND-0099,ambiguous_multiple_bank_candidates,multiple_possible_bank_candidates
PAY-0100,SET-0100,BANK-0100,invalid_record,invalid_malformed_record
